PURCHASE   ORDER   SHEET  (PARTS)  FOR MOS;;;;
;;;;
ORDER DATE;;04.05.2016 13:08;;
CUSTOMER CODE;;0020-0;;
PO.NO;;27382;;
SEA/AIR;;SEA;;
SHIPPING DATE    (YYYYMMDD);;ASAP;;
<DETAIL>;;;;
REF.NO;PART.NO; QUANTITY;MODEL.NO;LOCATION
1;BE00000011;20;;XM2A28
2;TE00000004;10;;V6F2B1
3;TE00000007;10;;V6E5D1
4;TE00000028;10;;XH3C40
5;TE00000041;10;;T6D3A1
6;TE00000042;10;;V6B5B1
7;YA00000118;2;;MCC00
8;652023676;5;;E9H2C1
9;660187784;10;;EEE
10;671001123;30;;15D26
11;;;;
12;;;;
13;;;;
14;;;;
15;;;;
16;;;;
17;;;;
18;;;;
19;;;;
20;;;;
21;;;;
22;;;;
23;;;;
24;;;;
25;;;;
26;;;;
27;;;;
28;;;;
29;;;;
30;;;;
31;;;;
32;;;;
33;;;;
34;;;;
35;;;;
36;;;;
37;;;;
38;;;;
39;;;;
40;;;;
41;;;;
42;;;;
43;;;;
44;;;;
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;;;;
53;;;;
54;;;;
55;;;;
56;;;;
57;;;;
58;;;;
59;;;;
60;;;;
61;;;;
62;;;;
63;;;;
64;;;;
65;;;;
66;;;;
67;;;;
68;;;;
69;;;;
70;;;;
71;;;;
72;;;;
73;;;;
74;;;;
75;;;;
76;;;;
77;;;;
78;;;;
79;;;;
80;;;;
81;;;;
82;;;;
83;;;;
84;;;;
85;;;;
86;;;;
87;;;;
88;;;;
89;;;;
90;;;;
91;;;;
92;;;;
93;;;;
94;;;;
95;;;;
96;;;;
97;;;;
98;;;;
99;;;;
100;;;;
101;;;;
102;;;;
103;;;;
104;;;;
105;;;;
106;;;;
107;;;;
108;;;;
109;;;;
110;;;;
111;;;;
112;;;;
113;;;;
114;;;;
115;;;;
116;;;;
117;;;;
118;;;;
119;;;;
120;;;;
121;;;;
122;;;;
123;;;;
124;;;;
125;;;;
126;;;;
127;;;;
128;;;;
129;;;;
130;;;;
131;;;;
132;;;;
133;;;;
134;;;;
135;;;;
136;;;;
137;;;;
138;;;;
139;;;;
140;;;;
141;;;;
142;;;;
143;;;;
144;;;;
145;;;;
146;;;;
147;;;;
148;;;;
149;;;;
150;;;;
151;;;;
152;;;;
153;;;;
154;;;;
155;;;;
156;;;;
157;;;;
158;;;;
159;;;;
160;;;;
161;;;;
162;;;;
163;;;;
164;;;;
165;;;;
166;;;;
167;;;;
168;;;;
169;;;;
170;;;;
171;;;;
172;;;;
173;;;;
174;;;;
175;;;;
176;;;;
177;;;;
178;;;;
179;;;;
180;;;;
181;;;;
182;;;;
183;;;;
184;;;;
185;;;;
186;;;;
187;;;;
188;;;;
189;;;;
190;;;;
191;;;;
192;;;;
193;;;;
194;;;;
195;;;;
196;;;;
197;;;;
198;;;;
199;;;;
200;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
; ;;;
; ;  ; ;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
